"filename", "language", "Python", "XML", "CSV", "comment", "blank", "total"
"g:\Projects\gamestate-main\constants.py", "Python", 3, 0, 0, 0, 2, 5
"g:\Projects\gamestate-main\entites\player.py", "Python", 52, 0, 0, 2, 16, 70
"g:\Projects\gamestate-main\entites\spritesheet.py", "Python", 43, 0, 0, 2, 16, 61
"g:\Projects\gamestate-main\levels\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"g:\Projects\gamestate-main\levels\camera.py", "Python", 11, 0, 0, 0, 6, 17
"g:\Projects\gamestate-main\levels\house.tmx", "XML", 0, 92, 0, 0, 1, 93
"g:\Projects\gamestate-main\levels\loader.py", "Python", 44, 0, 0, 0, 11, 55
"g:\Projects\gamestate-main\levels\village..csv", "CSV", 0, 0, 80, 0, 1, 81
"g:\Projects\gamestate-main\levels\village.tmx", "XML", 0, 192, 0, 0, 1, 193
"g:\Projects\gamestate-main\main.py", "Python", 38, 0, 0, 0, 16, 54
"g:\Projects\gamestate-main\states\game.py", "Python", 51, 0, 0, 0, 26, 77
"g:\Projects\gamestate-main\states\menu.py", "Python", 30, 0, 0, 0, 17, 47
"g:\Projects\gamestate-main\states\state.py", "Python", 9, 0, 0, 0, 4, 13
"g:\Projects\gamestate-main\ui\gui.py", "Python", 115, 0, 0, 1, 51, 167
"Total", "-", 396, 284, 80, 5, 169, 934
